#nu [Hz]            Flux [mJy]          
1.11968e-13 4100 1.72226e+11 4.70336e-06
1.23439e-13 4520.03 1.2816e+11 3.49995e-06
1.36084e-13 4983.09 9.53687e+10 2.60445e-06
1.50026e-13 5493.59 7.09674e+10 1.93807e-06
1.65395e-13 6056.39 5.28095e+10 1.44219e-06
1.8234e-13 6676.85 3.92974e+10 1.07318e-06
2.0102e-13 7360.87 2.92426e+10 7.98594e-07
2.21613e-13 8114.96 2.17604e+10 5.94261e-07
2.44317e-13 8946.31 1.61927e+10 4.4221e-07
2.69346e-13 9862.83 1.20495e+10 3.29063e-07
2.9694e-13 10873.2 8.96642e+09 2.44866e-07
3.27361e-13 11987.2 6.67219e+09 1.82212e-07
3.60898e-13 13215.2 4.96497e+09 1.3559e-07
3.9787e-13 14569.1 3.69457e+09 1.00896e-07
4.38631e-13 16061.6 2.74923e+09 7.50793e-08
4.83567e-13 17707.1 2.04577e+09 5.58683e-08
5.33107e-13 19521.1 1.5223e+09 4.15729e-08
5.87722e-13 21521 1.13277e+09 3.09352e-08
6.47932e-13 23725.7 8.42918e+08 2.30194e-08
7.1431e-13 26156.3 6.27228e+08 1.71291e-08
7.87488e-13 28836 4.66728e+08 1.2746e-08
8.68164e-13 31790.1 3.47297e+08 9.4844e-09
9.57104e-13 35046.9 2.58425e+08 7.0574e-09
1.05516e-12 38637.3 1.92295e+08 5.25142e-09
1.16325e-12 42595.6 1.43086e+08 3.90757e-09
1.28242e-12 46959.4 1.06469e+08 2.90759e-09
1.4138e-12 51770.2 7.92224e+07 2.1635e-09
1.55864e-12 57073.9 5.8948e+07 1.60982e-09
1.71832e-12 62920.9 4.38617e+07 1.19783e-09
1.89436e-12 69366.9 3.26361e+07 8.91268e-10
2.08843e-12 76473.3 2.42833e+07 6.63158e-10
2.30238e-12 84307.7 1.8068e+07 4.93424e-10
2.53825e-12 92944.8 1.34434e+07 3.67129e-10
2.79829e-12 102467 1.00023e+07 2.73156e-10
3.08496e-12 112964 7.44194e+06 2.03234e-10
3.401e-12 124537 5.53687e+06 1.51208e-10
3.74943e-12 137295 4.1194e+06 1.12498e-10
4.13354e-12 151361 3.06475e+06 8.36961e-11
4.55701e-12 166867 2.28006e+06 6.22668e-11
5.02386e-12 183962 1.69624e+06 4.63231e-11
5.53854e-12 202808 1.26188e+06 3.44609e-11
6.10594e-12 223585 938712 2.56355e-11
6.73147e-12 246491 698286 1.90697e-11
7.42109e-12 271743 519420 1.4185e-11
8.18135e-12 299582 386355 1.05511e-11
9.0195e-12 330273 287366 7.84774e-12
9.94352e-12 364108 213728 5.83676e-12
1.09622e-11 401410 158952 4.34085e-12
1.20852e-11 442533 118207 3.22814e-12
1.33233e-11 487869 87900.7 2.4005e-12
1.46883e-11 537849 65359.6 1.78492e-12
1.6193e-11 592950 48595.1 1.32709e-12
1.78519e-11 653696 36127.4 9.86612e-13
1.96808e-11 720665 26855.9 7.33413e-13
2.1697e-11 794494 19961.6 5.45135e-13
2.39198e-11 875888 14835.4 4.05143e-13
2.63703e-11 965619 11024.2 3.01062e-13
2.90719e-11 1.06454e+06 8190.91 2.23688e-13
3.20502e-11 1.1736e+06 6084.83 1.66172e-13
3.53336e-11 1.29383e+06 4519.49 1.23424e-13
3.89534e-11 1.42638e+06 3356.19 9.16551e-14
4.29441e-11 1.57251e+06 2491.79 6.8049e-14
4.73435e-11 1.73361e+06 1849.59 5.05109e-14
5.21937e-11 1.91121e+06 1372.55 3.74832e-14
5.75408e-11 2.10701e+06 1018.25 2.78077e-14
6.34356e-11 2.32286e+06 755.173 2.06232e-14
6.99344e-11 2.56083e+06 559.872 1.52897e-14
7.70989e-11 2.82318e+06 414.921 1.13312e-14
8.49975e-11 3.11241e+06 307.368 8.39399e-15
9.37052e-11 3.43126e+06 227.589 6.21529e-15
1.03305e-10 3.78278e+06 168.431 4.59974e-15
1.13888e-10 4.17032e+06 124.581 3.4022e-15
1.25556e-10 4.59755e+06 92.089 2.51488e-15
1.38418e-10 5.06855e+06 68.0249 1.85771e-15
1.52599e-10 5.58781e+06 50.2113 1.37123e-15
1.68232e-10 6.16026e+06 37.0317 1.01131e-15
1.85467e-10 6.79136e+06 27.2865 7.45173e-16
2.04467e-10 7.48711e+06 20.0855 5.4852e-16
2.25414e-10 8.25414e+06 14.7684 4.03315e-16
2.48507e-10 9.09975e+06 10.8456 2.96185e-16
2.73966e-10 1.0032e+07 7.95397 2.17217e-16
3.02033e-10 1.10597e+07 5.8246 1.59065e-16
3.32975e-10 1.21928e+07 4.25828 1.1629e-16
3.67087e-10 1.34419e+07 3.10753 8.48642e-17
4.04694e-10 1.48189e+07 2.26322 6.18068e-17
4.46153e-10 1.63371e+07 1.64468 4.4915e-17
4.9186e-10 1.80108e+07 1.19229 3.25605e-17
5.42249e-10 1.98559e+07 0.862019 2.35411e-17
5.97801e-10 2.18901e+07 0.621398 1.69699e-17
6.59044e-10 2.41326e+07 0.446487 1.21932e-17
7.2656e-10 2.66049e+07 0.31966 8.72968e-18
8.00994e-10 2.93305e+07 0.227956 6.22529e-18
8.83053e-10 3.23353e+07 0.161851 4.42004e-18
9.73519e-10 3.5648e+07 0.114365 3.12323e-18
1.07325e-09 3.93e+07 0.0803838 2.19522e-18
1.1832e-09 4.33261e+07 0.05617 1.53396e-18
1.30442e-09 4.77647e+07 0.0389979 1.065e-18
1.43805e-09 5.26581e+07 0.0268839 7.3418e-19
1.58538e-09 5.80527e+07 0.0183883 5.02171e-19
1.74779e-09 6.4e+07 0.0124693 3.40527e-19
