#nu [Hz]            Black-body Emission 
7.41807             -11.9981            
7.48473             -11.8648            
7.5514              -11.7315            
7.61807             -11.5981            
7.68473             -11.4648            
7.7514              -11.3315            
7.81807             -11.1981            
7.88473             -11.0648            
7.9514              -10.9315            
8.01807             -10.7981            
8.08473             -10.6648            
8.1514              -10.5315            
8.21807             -10.3981            
8.28473             -10.2648            
8.3514              -10.1315            
8.41807             -9.99812            
8.48473             -9.86478            
8.5514              -9.73145            
8.61807             -9.59812            
8.68473             -9.46478            
8.7514              -9.33145            
8.81807             -9.19812            
8.88473             -9.06478            
8.9514              -8.93145            
9.01807             -8.79812            
9.08473             -8.66478            
9.1514              -8.53145            
9.21807             -8.39812            
9.28473             -8.26478            
9.3514              -8.13145            
9.41807             -7.99812            
9.48473             -7.86478            
9.5514              -7.73145            
9.61807             -7.59812            
9.68473             -7.46478            
9.7514              -7.33145            
9.81807             -7.19812            
9.88473             -7.06478            
9.9514              -6.93145            
10.0181             -6.79812            
10.0847             -6.66478            
10.1514             -6.53145            
10.2181             -6.39812            
10.2847             -6.26478            
10.3514             -6.13145            
10.4181             -5.99813            
10.4847             -5.86483            
10.5514             -5.73155            
10.6181             -5.59828            
10.6847             -5.46501            
10.7514             -5.33171            
10.8181             -5.19845            
10.8847             -5.06517            
10.9514             -4.93191            
11.0181             -4.79866            
11.0847             -4.66542            
11.1514             -4.5322             
11.2181             -4.39899            
11.2847             -4.26581            
11.3514             -4.13265            
11.4181             -3.99951            
11.4847             -3.86641            
11.5514             -3.73335            
11.6181             -3.60033            
11.6847             -3.46737            
11.7514             -3.33446            
11.8181             -3.20163            
11.8847             -3.06888            
11.9514             -2.93623            
12.0181             -2.80369            
12.0847             -2.67128            
12.1514             -2.53903            
12.2181             -2.40696            
12.2847             -2.27509            
12.3514             -2.14348            
12.4181             -2.01214            
12.4847             -1.88115            
12.5514             -1.75054            
12.6181             -1.62039            
12.6847             -1.49077            
12.7514             -1.36178            
12.8181             -1.23352            
12.8847             -1.10611            
12.9514             -0.979705           
13.0181             -0.854474           
13.0847             -0.73062            
13.1514             -0.608383           
13.2181             -0.488042           
13.2847             -0.369929           
13.3514             -0.254431           
13.4181             -0.141999           
13.4847             -0.0331597          
13.5514             0.0714808           
13.6181             0.171234            
13.6847             0.265334            
13.7514             0.352952            
13.8181             0.43324             
13.8847             0.50539             
13.9514             0.568741            
14.0181             0.622905            
14.0847             0.667913            
14.1514             0.704313            
14.2181             0.733163            
14.2847             0.75585             
14.3514             0.773767            
14.4181             0.787957            
14.4847             0.798899            
14.5514             0.806497            
14.6181             0.8102              
14.6847             0.809135            
14.7514             0.802159            
14.8181             0.787852            
14.8847             0.76447             
14.9514             0.729879            
15.0181             0.681484            
15.0847             0.616135            
15.1514             0.530044            
15.2181             0.418683            
15.2847             0.276692            
15.3514             0.0977874           
15.4181             -0.125333           
15.4847             -0.401101           
15.5514             -0.739217           
15.6181             -1.15085            
15.6847             -1.64886            
15.7514             -2.24816            
15.8181             -2.96602            
15.8847             -3.82251            
15.9514             -4.841              
16.0181             -6.04865            
16.0847             -7.47713            
16.1514             -9.1633             
16.2181             -11.1501            
16.2847             -13.4876            
16.3514             -16.2342            
16.4181             -19.4577            
16.4847             -23.2374            
16.5514             -27.6653            
16.6181             -32.8489            
16.6847             -38.9138            
16.7514             -46.007             
16.8181             -54.3005            
16.8847             -63.9956            
16.9514             -75.3271            
17.0181             -88.5687            
17.0847             -104.039            
17.1514             -122.108            
17.2181             -143.208            
17.2847             -167.842            
17.3514             -196.596            
17.4181             -230.154            
17.4847             -269.313            
17.5514             -200                
17.6181             -200                
17.6847             -200                
17.7514             -200                
17.8181             -200                
17.8847             -200                
17.9514             -200                
18.0181             -200                
18.0847             -200                
18.1514             -200                
18.2181             -200                
18.2847             -200                
18.3514             -200                
18.4181             -200                
18.4847             -200                
18.5514             -200                
18.6181             -200                
18.6847             -200                
18.7514             -200                
18.8181             -200                
18.8847             -200                
18.9514             -200                
19.0181             -200                
19.0847             -200                
19.1514             -200                
19.2181             -200                
19.2847             -200                
19.3514             -200                
19.4181             -200                
19.4847             -200                
19.5514             -200                
