#nu [Hz]            External Black-body Emission
7.41807             -10.0433            
7.48473             -9.91001            
7.5514              -9.77668            
7.61807             -9.64335            
7.68473             -9.51001            
7.7514              -9.37668            
7.81807             -9.24335            
7.88473             -9.11001            
7.9514              -8.97668            
8.01807             -8.84335            
8.08473             -8.71001            
8.1514              -8.57668            
8.21807             -8.44335            
8.28473             -8.31001            
8.3514              -8.17668            
8.41807             -8.04335            
8.48473             -7.91001            
8.5514              -7.77668            
8.61807             -7.64335            
8.68473             -7.51001            
8.7514              -7.37668            
8.81807             -7.24335            
8.88473             -7.11002            
8.9514              -6.97668            
9.01807             -6.84335            
9.08473             -6.71002            
9.1514              -6.57668            
9.21807             -6.44335            
9.28473             -6.31002            
9.3514              -6.17669            
9.41807             -6.04335            
9.48473             -5.91002            
9.5514              -5.77669            
9.61807             -5.64336            
9.68473             -5.51003            
9.7514              -5.3767             
9.81807             -5.24337            
9.88473             -5.11004            
9.9514              -4.97671            
10.0181             -4.84338            
10.0847             -4.71005            
10.1514             -4.57673            
10.2181             -4.4434             
10.2847             -4.31008            
10.3514             -4.17676            
10.4181             -4.04344            
10.4847             -3.91012            
10.5514             -3.7768             
10.6181             -3.64349            
10.6847             -3.51018            
10.7514             -3.37688            
10.8181             -3.24357            
10.8847             -3.11028            
10.9514             -2.97699            
11.0181             -2.84371            
11.0847             -2.71043            
11.1514             -2.57717            
11.2181             -2.44392            
11.2847             -2.31068            
11.3514             -2.17746            
11.4181             -2.04426            
11.4847             -1.91107            
11.5514             -1.77792            
11.6181             -1.64479            
11.6847             -1.51169            
11.7514             -1.37864            
11.8181             -1.24563            
11.8847             -1.11268            
11.9514             -0.979789           
12.0181             -0.846972           
12.0847             -0.714242           
12.1514             -0.581611           
12.2181             -0.449098           
12.2847             -0.316721           
12.3514             -0.184504           
12.4181             -0.052474           
12.4847             0.0793387           
12.5514             0.210897            
12.6181             0.342158            
12.6847             0.47307             
12.7514             0.603576            
12.8181             0.733605            
12.8847             0.863075            
12.9514             0.99189             
13.0181             1.11994             
13.0847             1.24708             
13.1514             1.37316             
13.2181             1.498               
13.2847             1.62135             
13.3514             1.74297             
13.4181             1.86252             
13.4847             1.97962             
13.5514             2.09382             
13.6181             2.20454             
13.6847             2.31111             
13.7514             2.4127              
13.8181             2.50831             
13.8847             2.59668             
13.9514             2.67631             
14.0181             2.74531             
14.0847             2.80139             
14.1514             2.84174             
14.2181             2.86293             
14.2847             2.86082             
14.3514             2.83049             
14.4181             2.76612             
14.4847             2.66093             
14.5514             2.50717             
14.6181             2.29596             
14.6847             2.01719             
14.7514             1.65928             
14.8181             1.20894             
14.8847             0.650723            
14.9514             -0.0332788          
15.0181             -0.863948           
15.0847             -1.86562            
15.1514             -3.06667            
15.2181             -4.50016            
15.2847             -6.20469            
15.3514             -8.22519            
15.4181             -10.6141            
15.4847             -13.4326            
15.5514             -16.7518            
15.6181             -20.655             
15.6847             -25.239             
15.7514             -30.6166            
15.8181             -36.9197            
15.8847             -44.3017            
15.9514             -52.9417            
16.0181             -63.0484            
16.0847             -74.8651            
16.1514             -88.6756            
16.2181             -104.811            
16.2847             -123.656            
16.3514             -145.661            
16.4181             -171.35             
16.4847             -201.335            
16.5514             -236.327            
16.6181             -inf                
16.6847             -inf                
16.7514             -inf                
16.8181             -inf                
16.8847             -inf                
16.9514             -inf                
17.0181             -inf                
17.0847             -inf                
17.1514             -inf                
17.2181             -inf                
17.2847             -inf                
17.3514             -inf                
17.4181             -inf                
17.4847             -inf                
17.5514             -inf                
17.6181             -inf                
17.6847             -inf                
17.7514             -inf                
17.8181             -inf                
17.8847             -inf                
17.9514             -inf                
18.0181             -inf                
18.0847             -inf                
18.1514             -inf                
18.2181             -inf                
18.2847             -inf                
18.3514             -inf                
18.4181             -inf                
18.4847             -inf                
18.5514             -inf                
18.6181             -inf                
18.6847             -inf                
18.7514             -inf                
18.8181             -inf                
18.8847             -inf                
18.9514             -inf                
19.0181             -inf                
19.0847             -inf                
19.1514             -inf                
19.2181             -inf                
19.2847             -inf                
19.3514             -inf                
19.4181             -inf                
19.4847             -inf                
19.5514             -inf                
19.6181             -inf                
19.6847             -inf                
19.7514             -inf                
19.8181             -inf                
19.8847             -inf                
19.9514             -inf                
20.0181             -inf                
20.0847             -inf                
20.1514             -inf                
20.2181             -inf                
20.2847             -inf                
20.3514             -inf                
20.4181             -inf                
20.4847             -inf                
20.5514             -inf                
20.6181             -inf                
20.6847             -inf                
20.7514             -inf                
20.8181             -inf                
20.8847             -inf                
20.9514             -inf                
21.0181             -inf                
21.0847             -inf                
21.1514             -inf                
21.2181             -inf                
21.2847             -inf                
21.3514             -inf                
21.4181             -inf                
21.4847             -inf                
21.5514             -inf                
21.6181             -inf                
21.6847             -inf                
21.7514             -inf                
21.8181             -inf                
21.8847             -inf                
21.9514             -inf                
22.0181             -inf                
22.0847             -inf                
22.1514             -inf                
22.2181             -inf                
22.2847             -inf                
22.3514             -inf                
22.4181             -inf                
22.4847             -inf                
22.5514             -inf                
22.6181             -inf                
22.6847             -inf                
22.7514             -inf                
22.8181             -inf                
22.8847             -inf                
22.9514             -inf                
23.0181             -inf                
23.0847             -inf                
23.1514             -inf                
23.2181             -inf                
23.2847             -inf                
23.3514             -inf                
23.4181             -inf                
23.4847             -inf                
23.5514             -inf                
23.6181             -inf                
23.6847             -inf                
23.7514             -inf                
23.8181             -inf                
23.8847             -inf                
23.9514             -inf                
24.0181             -inf                
24.0847             -inf                
24.1514             -inf                
24.2181             -inf                
24.2847             -inf                
24.3514             -inf                
24.4181             -inf                
24.4847             -inf                
24.5514             -inf                
24.6181             -inf                
24.6847             -inf                
24.7514             -inf                
24.8181             -inf                
24.8847             -inf                
24.9514             -inf                
25.0181             -inf                
25.0847             -inf                
25.1514             -inf                
25.2181             -inf                
25.2847             -inf                
25.3514             -inf                
25.4181             -inf                
25.4847             -inf                
25.5514             -inf                
25.6181             -inf                
25.6847             -inf                
25.7514             -inf                
25.8181             -inf                
25.8847             -inf                
25.9514             -inf                
26.0181             -inf                
26.0847             -inf                
26.1514             -inf                
26.2181             -inf                
26.2847             -inf                
26.3514             -inf                
26.4181             -inf                
26.4847             -inf                
26.5514             -inf                
26.6181             -inf                
26.6847             -inf                
26.7514             -inf                
26.8181             -inf                
26.8847             -inf                
26.9514             -inf                
27.0181             -inf                
27.0847             -inf                
27.1514             -inf                
27.2181             -inf                
27.2847             -inf                
