#nu [Hz]            Postsyn Emission    
6.41986             -198.268            
6.48986             -198.268            
6.55986             -198.268            
6.62986             -198.268            
6.69986             -198.268            
6.76986             -198.268            
6.83986             -198.268            
6.90986             -198.268            
6.97986             -1.19069            
7.04986             -1.08125            
7.11986             -0.991761           
7.18986             -0.928458           
7.25986             -0.882788           
7.32986             -0.846545           
7.39986             -0.817692           
7.46986             -0.793342           
7.53986             -0.771107           
7.60986             -0.75172            
7.67986             -0.733897           
7.74986             -0.715984           
7.81986             -0.699006           
7.88986             -0.682403           
7.95986             -0.66518            
8.02986             -0.648663           
8.09986             -0.632531           
8.16986             -0.615745           
8.23986             -0.59937            
8.30986             -0.583272           
8.37986             -0.566654           
8.44986             -0.550646           
8.51986             -0.535245           
8.58986             -0.51962            
8.65986             -0.504678           
8.72986             -0.490445           
8.79986             -0.47602            
8.86986             -0.462069           
8.93986             -0.448855           
9.00986             -0.435794           
9.07986             -0.423504           
9.14986             -0.411843           
9.21986             -0.399733           
9.28986             -0.387423           
9.35986             -0.375415           
9.42986             -0.363891           
9.49986             -0.354056           
9.56986             -0.346182           
9.63986             -0.338959           
9.70986             -0.331932           
9.77986             -0.324989           
9.84986             -0.317983           
9.91986             -0.311841           
9.98986             -0.307127           
10.0599             -0.303087           
10.1299             -0.299765           
10.1999             -0.297295           
10.2699             -0.295063           
10.3399             -0.293279           
10.4099             -0.292255           
10.4799             -0.291379           
10.5499             -0.290777           
10.6199             -0.290803           
10.6899             -0.290838           
10.7599             -0.290845           
10.8299             -0.291088           
10.8999             -0.291071           
10.9699             -0.290906           
11.0399             -0.290968           
11.1099             -0.29073            
11.1799             -0.290151           
11.2499             -0.289525           
11.3199             -0.288458           
11.3899             -0.287248           
11.4599             -0.286519           
11.5299             -0.285716           
11.5999             -0.284635           
11.6699             -0.283498           
11.7399             -0.28196            
11.8099             -0.280322           
11.8799             -0.279266           
11.9499             -0.278159           
12.0199             -0.276686           
12.0899             -0.275142           
12.1599             -0.273216           
12.2299             -0.271073           
12.2999             -0.269313           
12.3699             -0.267364           
12.4399             -0.265224           
12.5099             -0.26385            
12.5799             -0.262759           
12.6499             -0.261131           
12.7199             -0.258853           
12.7899             -0.255905           
12.8599             -0.252618           
12.9299             -0.249595           
12.9999             -0.246361           
13.0699             -0.242848           
13.1399             -0.239892           
13.2099             -0.237126           
13.2799             -0.234076           
13.3499             -0.231117           
13.4199             -0.227981           
13.4899             -0.224249           
13.5599             -0.220137           
13.6299             -0.215995           
13.6999             -0.21303            
13.7699             -0.21332            
13.8399             -0.217019           
13.9099             -0.223591           
13.9799             -0.233394           
14.0499             -0.245635           
14.1199             -0.258244           
14.1899             -0.269299           
14.2599             -0.278466           
14.3299             -0.28608            
14.3999             -0.292413           
14.4699             -0.297896           
14.5399             -0.302973           
14.6099             -0.308008           
14.6799             -0.313244           
14.7499             -0.318858           
14.8199             -0.325037           
14.8899             -0.331927           
14.9599             -0.339629           
15.0299             -0.348229           
15.0999             -0.357849           
15.1699             -0.368631           
15.2399             -0.380713           
15.3099             -0.394254           
15.3799             -0.4094             
15.4499             -0.426269           
15.5199             -0.445009           
15.5899             -0.465788           
15.6599             -0.488754           
15.7299             -0.514087           
15.7999             -0.541991           
15.8699             -0.572639           
15.9399             -0.606192           
16.0099             -0.642813           
16.0799             -0.68268            
16.1499             -0.726019           
16.2199             -0.773124           
16.2899             -0.824354           
16.3599             -0.88018            
16.4299             -0.941185           
16.4999             -1.00802            
16.5699             -1.08117            
16.6399             -1.16083            
16.7099             -1.2472             
16.7799             -1.34065            
16.8499             -1.44184            
16.9199             -1.55139            
16.9899             -1.66932            
17.0599             -1.79456            
17.1299             -1.92587            
17.1999             -2.06292            
17.2699             -2.20714            
17.3399             -2.3599             
17.4099             -2.52295            
17.4799             -2.69907            
17.5499             -2.89112            
17.6199             -3.10216            
17.6899             -3.33556            
17.7599             -3.59453            
17.8299             -3.88277            
17.8999             -4.20535            
17.9699             -4.5673             
18.0399             -4.97437            
18.1099             -5.43469            
18.1799             -5.95696            
18.2499             -6.55166            
18.3199             -7.23298            
18.3899             -8.01413            
18.4599             -8.91066            
18.5299             -9.95056            
18.5999             -11.1664            
18.6699             -12.5873            
18.7399             -14.2262            
18.8099             -16.0893            
18.8799             -18.2142            
18.9499             -20.7669            
19.0199             -23.9464            
19.0899             -27.8631            
19.1599             -32.2507            
19.2299             -36.7416            
19.2999             -41.2996            
19.3699             -47.4338            
19.4399             -57.1016            
19.5099             -71.3966            
19.5799             -86.9633            
19.6499             -98.1643            
19.7199             -97.9361            
19.7899             -98.0642            
19.8599             -98.2682            
19.9299             -98.1522            
19.9999             -98.1935            
20.0699             -98.2649            
20.1399             -98.2689            
20.2099             -98.2691            
20.2799             -98.2682            
20.3499             -98.2661            
20.4199             -98.2663            
20.4899             -98.2674            
20.5599             -98.2679            
20.6299             -98.2679            
20.6999             -98.2677            
20.7699             -98.2675            
20.8399             -98.2675            
20.9099             -98.2676            
20.9799             -98.2676            
21.0499             -98.2676            
21.1199             -98.2676            
21.1899             -98.2676            
21.2599             -98.2676            
21.3299             -98.2676            
21.3999             -98.2676            
21.4699             -98.2676            
21.5399             -98.2676            
21.6099             -98.2676            
21.6799             -98.2676            
21.7499             -98.2676            
21.8199             -98.2676            
21.8899             -98.2676            
21.9599             -98.2676            
22.0299             -98.2676            
22.0999             -98.2676            
22.1699             -98.2676            
22.2399             -98.2676            
22.3099             -98.2676            
22.3799             -98.2676            
22.4499             -98.2676            
22.5199             -98.2676            
22.5899             -98.2676            
22.6599             -98.2676            
22.7299             -98.2676            
22.7999             -98.2676            
22.8699             -98.2676            
22.9399             -98.2676            
23.0099             -98.2676            
23.0799             -98.2676            
23.1499             -98.2676            
23.2199             -98.2676            
23.2899             -98.2676            
23.3599             -98.2676            
23.4299             -98.2676            
23.4999             -98.2676            
23.5699             -98.2676            
23.6399             -98.2676            
23.7099             -98.2676            
23.7799             -98.2676            
23.8499             -98.2676            
23.9199             -98.2676            
23.9899             -98.2676            
24.0599             -98.2676            
24.1299             -98.2676            
24.1999             -98.2676            
24.2699             -98.2676            
24.3399             -98.2676            
24.4099             -98.2676            
24.4799             -98.2676            
24.5499             -98.2676            
24.6199             -98.2676            
24.6899             -98.2676            
24.7599             -98.2676            
24.8299             -98.2676            
24.8999             -98.2676            
24.9699             -98.2676            
25.0399             -98.2676            
25.1099             -98.2676            
25.1799             -98.2676            
25.2499             -98.2676            
25.3199             -98.2676            
25.3899             -98.2676            
25.4599             -98.2676            
25.5299             -98.2676            
25.5999             -98.2676            
25.6699             -98.2676            
25.7399             -98.2676            
25.8099             -98.2676            
25.8799             -98.2676            
25.9499             -98.2676            
26.0199             -98.2676            
26.0899             -98.2676            
26.1599             -98.2676            
26.2299             -98.2676            
26.2999             -98.2676            
26.3699             -98.2676            
26.4399             -98.2676            
26.5099             -98.2676            
26.5799             -98.2676            
26.6499             -98.2676            
26.7199             -98.2676            
26.7899             -98.2676            
26.8599             -98.2676            
26.9299             -98.2676            
26.9999             -98.2676            
27.0699             -98.2676            
27.1399             -98.2676            
27.2099             -98.2676            
27.2799             -98.2676            
