#nu [Hz]            Presyn Emission     
7.41807             -9.51027            
7.48473             -9.37707            
7.5514              -9.24391            
7.61807             -8.67524            
7.68473             -8.54222            
7.7514              -8.40924            
7.81807             -8.27632            
7.88473             -8.14344            
7.9514              -8.01059            
8.01807             -7.45391            
8.08473             -7.32109            
8.1514              -6.8923             
8.21807             -6.75965            
8.28473             -6.41007            
8.3514              -5.97126            
8.41807             -5.62528            
8.48473             -5.26333            
8.5514              -4.96518            
8.61807             -4.83361            
8.68473             -4.7021             
8.7514              -4.57062            
8.81807             -4.43916            
8.88473             -4.30769            
8.9514              -4.17621            
9.01807             -4.04469            
9.08473             -3.91312            
9.1514              -3.78147            
9.21807             -3.64972            
9.28473             -3.51786            
9.3514              -3.38587            
9.41807             -3.25374            
9.48473             -3.12148            
9.5514              -2.98908            
9.61807             -2.85655            
9.68473             -2.72389            
9.7514              -2.5911             
9.81807             -2.4582             
9.88473             -2.32519            
9.9514              -2.19209            
10.0181             -2.05889            
10.0847             -1.9256             
10.1514             -1.79222            
10.2181             -1.65875            
10.2847             -1.52521            
10.3514             -1.39159            
10.4181             -1.2579             
10.4847             -1.12416            
10.5514             -0.990364           
10.6181             -0.856516           
10.6847             -0.722568           
10.7514             -0.588475           
10.8181             -0.454268           
10.8847             -0.320114           
10.9514             -0.186187           
11.0181             -0.0523823          
11.0847             0.0819052           
11.1514             0.217343            
11.2181             0.35313             
11.2847             0.485293            
11.3514             0.610661            
11.4181             0.730173            
11.4847             0.84611             
11.5514             0.958762            
11.6181             1.06701             
11.6847             1.16925             
11.7514             1.26075             
11.8181             1.33977             
11.8847             1.4035              
11.9514             1.4485              
12.0181             1.47448             
12.0847             1.47872             
12.1514             1.45878             
12.2181             1.41053             
12.2847             1.33581             
12.3514             1.2485              
12.4181             1.15942             
12.4847             1.05842             
12.5514             0.927315            
12.6181             0.759759            
12.6847             0.549873            
12.7514             0.297881            
12.8181             0.0126235           
12.8847             -0.293638           
12.9514             -0.615703           
13.0181             -0.955916           
13.0847             -1.317              
13.1514             -1.70057            
13.2181             -2.10701            
13.2847             -2.5367             
13.3514             -2.99076            
13.4181             -3.47122            
13.4847             -3.98011            
13.5514             -4.51869            
13.6181             -5.08712            
13.6847             -5.68555            
13.7514             -6.31585            
13.8181             -6.98248            
13.8847             -7.69015            
13.9514             -8.44146            
14.0181             -9.23562            
14.0847             -10.0713            
14.1514             -10.9495            
14.2181             -11.8748            
14.2847             -12.8525            
14.3514             -13.8863            
