#nu [Hz]            Total Emission      
6.41986             -16.2309            
6.48986             -16.0826            
6.55986             -15.9426            
6.62986             -15.7913            
6.69986             -15.6166            
6.76986             -15.4262            
6.83986             -15.2228            
6.90986             -14.8938            
6.97986             -1.50337            
7.04986             -1.45876            
7.11986             -1.41334            
7.18986             -1.37297            
7.25986             -1.3367             
7.32986             -1.30168            
7.39986             -1.26753            
7.46986             -1.23416            
7.53986             -1.20111            
7.60986             -1.16926            
7.67986             -1.13872            
7.74986             -1.1092             
7.81986             -1.08222            
7.88986             -1.05828            
7.95986             -1.03589            
8.02986             -1.01389            
8.09986             -0.99207            
8.16986             -0.9706             
8.23986             -0.950254           
8.30986             -0.93108            
8.37986             -0.912531           
8.44986             -0.894736           
8.51986             -0.877792           
8.58986             -0.861486           
8.65986             -0.846147           
8.72986             -0.831973           
8.79986             -0.81875            
8.86986             -0.80672            
8.93986             -0.79591            
9.00986             -0.785824           
9.07986             -0.776356           
9.14986             -0.768079           
9.21986             -0.76203            
9.28986             -0.75962            
9.35986             -0.760244           
9.42986             -0.761474           
9.49986             -0.761956           
9.56986             -0.761439           
9.63986             -0.759802           
9.70986             -0.757072           
9.77986             -0.753638           
9.84986             -0.750263           
9.91986             -0.748662           
9.98986             -0.749683           
10.0599             -0.751878           
10.1299             -0.75397            
10.1999             -0.755584           
10.2699             -0.756684           
10.3399             -0.757516           
10.4099             -0.758308           
10.4799             -0.758593           
10.5499             -0.758195           
10.6199             -0.757403           
10.6899             -0.756367           
10.7599             -0.755437           
10.8299             -0.754927           
10.8999             -0.754315           
10.9699             -0.753298           
11.0399             -0.752053           
11.1099             -0.750578           
11.1799             -0.749045           
11.2499             -0.747825           
11.3199             -0.746652           
11.3899             -0.745372           
11.4599             -0.744182           
11.5299             -0.742881           
11.5999             -0.741369           
11.6699             -0.739892           
11.7399             -0.738287           
11.8099             -0.736467           
11.8799             -0.734706           
11.9499             -0.732885           
12.0199             -0.730916           
12.0899             -0.729055           
12.1599             -0.727115           
12.2299             -0.724926           
12.2999             -0.722721           
12.3699             -0.720408           
12.4399             -0.717867           
12.5099             -0.715348           
12.5799             -0.712667           
12.6499             -0.70956            
12.7199             -0.706191           
12.7899             -0.702565           
12.8599             -0.698627           
12.9299             -0.694612           
12.9999             -0.690174           
13.0699             -0.684834           
13.1399             -0.678677           
13.2099             -0.671814           
13.2799             -0.664456           
13.3499             -0.657316           
13.4199             -0.650344           
13.4899             -0.643038           
13.5599             -0.635188           
13.6299             -0.626246           
13.6999             -0.615023           
13.7699             -0.600226           
13.8399             -0.581225           
13.9099             -0.558023           
13.9799             -0.531057           
14.0499             -0.500538           
14.1199             -0.467221           
14.1899             -0.431834           
14.2599             -0.394402           
14.3299             -0.355996           
14.3999             -0.316409           
14.4699             -0.275807           
14.5399             -0.234687           
14.6099             -0.192484           
14.6799             -0.150109           
14.7499             -0.10676            
14.8199             -0.0630319          
14.8899             -0.0185661          
14.9599             0.025848            
15.0299             0.0692441           
15.0999             0.112129            
15.1699             0.156467            
15.2399             0.20758             
15.3099             0.267122            
15.3799             0.331381            
15.4499             0.391195            
15.5199             0.441561            
15.5899             0.478673            
15.6599             0.495449            
15.7299             0.481859            
15.7999             0.42966             
15.8699             0.346119            
15.9399             0.244347            
16.0099             0.137424            
16.0799             0.0327062           
16.1499             -0.0631927          
16.2199             -0.143786           
16.2899             -0.203174           
16.3599             -0.242153           
16.4299             -0.262473           
16.4999             -0.267873           
16.5699             -0.262993           
16.6399             -0.251639           
16.7099             -0.236622           
16.7799             -0.219828           
16.8499             -0.202491           
16.9199             -0.185438           
16.9899             -0.169289           
17.0599             -0.154596           
17.1299             -0.141919           
17.1999             -0.131907           
17.2699             -0.125332           
17.3399             -0.123145           
17.4099             -0.126519           
17.4799             -0.136835           
17.5499             -0.156095           
17.6199             -0.186304           
17.6899             -0.230258           
17.7599             -0.291271           
17.8299             -0.373457           
17.8999             -0.48165            
17.9699             -0.62169            
18.0399             -0.800404           
18.1099             -1.02567            
18.1799             -1.30614            
18.2499             -1.65063            
18.3199             -2.06518            
18.3899             -2.54215            
18.4599             -3.02886            
18.5299             -3.40176            
18.5999             -3.60784            
18.6699             -3.73647            
18.7399             -3.84877            
18.8099             -3.95667            
18.8799             -4.05113            
18.9499             -4.13358            
19.0199             -4.205              
19.0899             -4.26247            
19.1599             -4.30717            
19.2299             -4.34768            
19.2999             -4.38374            
19.3699             -4.41698            
19.4399             -4.45082            
19.5099             -4.48758            
19.5799             -4.52707            
19.6499             -4.56986            
19.7199             -4.61981            
19.7899             -4.67508            
19.8599             -4.73719            
19.9299             -4.80677            
19.9999             -4.88349            
20.0699             -4.96954            
20.1399             -5.06356            
20.2099             -5.16835            
20.2799             -5.28293            
20.3499             -5.40887            
20.4199             -5.54763            
20.4899             -5.69799            
20.5599             -5.86439            
20.6299             -6.0435             
20.6999             -6.23997            
20.7699             -6.45154            
20.8399             -6.67732            
20.9099             -6.92316            
20.9799             -7.1739             
21.0499             -7.41101            
21.1199             -7.60387            
21.1899             -7.76898            
21.2599             -7.90558            
21.3299             -7.99462            
21.3999             -8.04076            
21.4699             -8.08101            
21.5399             -8.14242            
21.6099             -8.2118             
21.6799             -8.27622            
21.7499             -8.33588            
21.8199             -8.40341            
21.8899             -8.48738            
21.9599             -8.57551            
22.0299             -8.65302            
22.0999             -8.72528            
22.1699             -8.80696            
22.2399             -8.89808            
22.3099             -8.99426            
22.3799             -9.09413            
22.4499             -9.19781            
22.5199             -9.30585            
22.5899             -9.42096            
22.6599             -9.54099            
22.7299             -9.67012            
22.7999             -9.80774            
22.8699             -9.95532            
22.9399             -10.1188            
23.0099             -10.2929            
23.0799             -10.4942            
23.1499             -10.7108            
23.2199             -10.9694            
23.2899             -11.2681            
23.3599             -11.6155            
23.4299             -12.1032            
23.4999             -12.607             
23.5699             -13.5453            
23.6399             -15.0552            
23.7099             -21.0637            
23.7799             -22.7437            
23.8499             -24.4237            
23.9199             -26.1037            
23.9899             -27.7837            
24.0599             -29.4637            
24.1299             -31.1437            
24.1999             -32.8237            
24.2699             -34.5037            
24.3399             -36.1837            
24.4099             -37.8637            
24.4799             -39.5437            
24.5499             -41.2237            
24.6199             -42.9037            
24.6899             -44.5837            
24.7599             -46.2637            
24.8299             -47.9437            
24.8999             -49.6237            
24.9699             -51.3037            
25.0399             -52.9837            
25.1099             -54.6637            
25.1799             -56.3437            
25.2499             -58.0237            
25.3199             -59.7037            
25.3899             -61.3837            
25.4599             -63.0637            
25.5299             -64.7437            
25.5999             -66.4237            
25.6699             -68.1037            
25.7399             -69.7837            
25.8099             -71.4637            
25.8799             -73.1437            
25.9499             -74.8237            
26.0199             -76.5037            
26.0899             -78.1837            
26.1599             -79.8637            
26.2299             -81.5437            
26.2999             -83.2237            
26.3699             -84.9037            
26.4399             -86.5837            
26.5099             -88.2637            
26.5799             -89.9437            
26.6499             -98.1549            
26.7199             -98.1549            
26.7899             -98.1549            
26.8599             -98.1549            
26.9299             -98.1549            
26.9999             -98.1549            
27.0699             -98.1549            
27.1399             -98.1549            
27.2099             -98.1549            
27.2799             -98.1549            
